timestamp,content,label
2025/3/7 20:25,左眼550度的近视+150度散光，右眼800度的近视+150度的散光该怎么选,0
2025/3/7 22:29,@小七七姐 我觉得科学来讲，一个老婆得配两个老公,1
2025/3/8 9:49,如果这样就能治好的话，我愿意治[流泪],0
2025/3/8 19:03,这种治疗法没用，小时候试过鼻炎这种插鼻孔里的，还有喷鼻子里的药粉，还有中药，我只能说一点用都没用，前前后后花了1w一点都没用，到最后偶然喝到一个药片，发现特别有用，后来配合喷剂治好了,0
2025/3/8 20:27,什么冤种我是[微笑]刷完许超我以为我不会有多尴尬了，结果跟着后面是您[困],0
2025/3/9 7:21,注意休息[色],1
2025/3/9 8:30,只能说买靠谱的货,0
2025/3/9 13:13,@三木??,0
2025/3/9 15:51,求评价，被同学说长得磕碜[流泪],1
2025/3/10 1:00,我刚买完博士伦[躺平]我第一次戴想着拍写真用勒[躺平],0
2025/3/10 11:54,谁懂鼻炎导致的呼吸困难[泣不成声],0
2025/3/10 12:54,鼻炎没法根治，只能换地方。我之前在重庆一点事没有，舒服得很，只要一回来飞机落地就开始了。还有那些治疗方法各种药物全都没用，最多只能缓解，大家还是别被一些说能根治的庸医骗了，我有朋友就吃了怪药以后更严重了,0
2025/3/10 17:27,"这个我做过，我当时是鼻息肉把鼻子堵死了，医生用竹签沾黑色的膏体插进去，腐蚀。然后等几天腐蚀的息肉就剩一层皮类似的组织，用镊子一点点拔下来。
之前我全麻动手术复发了，后来用这个药膏，虽然巨疼，但是真的没复发[赞]",0
2025/3/10 21:31,半年抛这个算差的吗[流泪],0
2025/3/10 22:44,我从小皮肤就特别干，干到起皮的那种，手也特别粗糙，像老奶奶的手一样，被同学叫丑八怪所以我夏天也不敢穿短袖，只能穿长袖，也不敢和人握手，我怕别人问我你的手为什么这么老，我不知道怎么该解释，长大后才知道我这是鱼鳞病，我经常会想为什么，为什么是我，为什么我没有和正常人一样的皮肤，我也想过和自己和解，但是真的好难[流泪],0
2025/3/11 8:18,摇头晃脑的美女医生[赞][赞][赞],0
2025/3/11 20:04,关键我不带度数美瞳戴眼镜会被投吧[逞强落泪],0
2025/3/12 1:20,上高中以前大家都叫我黑妹，小黑蛋，因为家庭原因也蛮自卑，后来就习惯了戴口罩遮掩自己，再后来遇到前夫哥，他说我真的很漂亮，很白，很少叫我戴口罩，再到现在上班的地方，都是年轻老师，大家都会互相真心夸奖对方，他们都说我很白，皮肤很好，很漂亮，身材很好[眼含热泪][眼含热泪]真的很感谢现在这个时期的周围的一切，一切都在往美好的方向发展[惊喜][惊喜],0
2025/3/12 6:30,多少钱一瓶？[比心][比心][比心][比心][比心][比心],0
2025/3/12 14:42,就我这容貌算了吧,0
2025/3/12 15:54,@婷酱? v ? 宝宝请记住，这个世界上没有完美的人，你已经很漂亮了，我不是在安慰你，我只是真的这么觉得，自信一点好吗，我很喜欢你，觉得你真的很可爱，你有你独特的美这让你与众不同，不是每个人都可以理解你的美，但是我希望你不要因为那些人并不了解你的人觉得你真的不好[抱抱你],0
2025/3/12 19:50,他们虽然迷路了，但是他们依然相亲相爱，没有争吵,0
2025/3/12 19:51,坐下那一瞬间倾斜了，心颤抖了一下，好怕摔了??,0
2025/3/12 19:51,相濡以沫，白头到老，共苦同甘。,0
2025/3/12 19:52,看哭了[流泪][流泪][流泪]执子之手与子偕老，这是爱情最美好的样子！,0
2025/3/12 19:52,看过一句话，其实人一辈子自己的另一半才是最亲的人，也是陪伴最久的人[流泪],0
2025/3/12 19:52,爱情的样子真的会让人羡慕，我爷爷奶奶快九十了， 天天牵手去散步，相互搀扶[比心],0
